requirement	expected_artifact	current_evidence	status
G1_W3.3_M1.1-M1.7	feat/w33-hg-block-slice-prod	035b0713	GREEN_ARTIFACT_PRESENT
G2_W3.5_M2.1	cargo_bench_wcoj_w35_smallrel_small	50f06d25=0.501x;9b468216=0.521x;60b585e9=0.498x	RED
G2_W3.5_M2.2	cargo_bench_wcoj_w35_smallrel_large	50f06d25=0.554x;9b468216=0.510x;60b585e9=0.526x	RED
G2_W3.5_M2.3	row_equality	50f06d25_PASS;9b468216_PASS;60b585e9_PASS	GREEN
G2_W3.5_M2.4	shared_memory_budget	c53dce32_RESOURCE_PASS	GREEN
G3_W3.6_M3.1	cargo_bench_wcoj_w36_warp_small	8808cdf0=0.597x;6c396757=0.595x	RED
G3_W3.6_M3.2	cargo_bench_wcoj_w36_warp_large	8808cdf0=0.515x;6c396757=0.521x	RED
G3_W3.6_M3.3	row_equality	8808cdf0_PASS;6c396757_PASS	GREEN
G2_G3_iteration2_response1_readiness	response1_readiness.md	8cbaced9	PREPARED_NO_IMPLEMENTATION
G2_G3_supervisor_review_request	review_request.md	f3c19cff	PREPARED_NO_IMPLEMENTATION
G4_W3.7_M4.1-M4.5	feat/w37-helper-split-aot-g37	bfd80d67	GREEN_ARTIFACT_PRESENT
G5_W3.8_M5.1-M5.4	feat/w38-stream-mux-aot-g37	792cea72	GREEN_ARTIFACT_PRESENT
G6_W3.9_M6.1-M6.6	wcoj_paper_class	none	MISSING
G7_M7.1-M7.6	cross_cutting_cleanup	none	MISSING
W3.4_revalidation	superhub_50K_ge_1.3x_post_bundle	none	MISSING
W4.1_regression	three_dispatch_certs_final_bundle	none	MISSING
closure_proposal	docs/plans/2026-05-XX-w3-bundle-closure-proposal.md	none	MISSING
board_update	user_approved_OPEN_to_DONE	none	NOT_STARTED
