cell	g38_gpu_ns	g38_hash_ns	w52_gpu_ns	w52_hash_ns	g38_ratio	w52_same_machine_ratio	historical_ratio	gpu_current_over_w52	ratio_current_over_w52	ratio_current_over_historical	amended_combined_result
4cycle_N50	843849	2977429	716048	2305713	3.528391	3.220054	6.986100	1.178481	1.095755	0.505059	PASS
4cycle_N250	805221	3301902	2289397	3527273	4.100616	1.540700	5.246400	0.351718	2.661529	0.781606	PASS
4cycle_N1000	1075469	5628134	8151034	4299544	5.233190	0.527484	2.763100	0.131943	9.921032	1.893956	PASS
4cycle_N2000	1718195	13539778	8162831	11167139	7.880234	1.368047	2.254400	0.210490	5.760205	3.495490	PASS
5clique_N10	30864487	13211259	31337399	10476996	0.428041	0.334329	0.544900	0.984909	1.280299	0.785540	PASS
5clique_N25	33684855	13216667	33563009	12347800	0.392362	0.367899	0.549800	1.003630	1.066494	0.713645	PASS
5clique_N50	34415236	14321866	34311615	13324657	0.416149	0.388342	0.544200	1.003020	1.071603	0.764699	PASS
5clique_N100	35042289	12331416	35099735	14287440	0.351901	0.407053	0.519500	0.998363	0.864510	0.677384	PASS
pivot5_N10	35982968	13718054	35770580	14745394	0.381237	0.412221	0.547300	1.005938	0.924837	0.696579	PASS
pivot5_N20	38535207	15814163	36727050	15719946	0.410382	0.428021	0.593200	1.049232	0.958790	0.691811	PASS
pivot5_N30	39271605	15922399	37897312	17654628	0.405443	0.465854	0.766300	1.036264	0.870321	0.529092	PASS
pivot5_N40	41431922	18542226	39227062	20237209	0.447535	0.515899	0.868600	1.056208	0.867485	0.515237	PASS
