run_id,example,seed,status,exit_code,duration_sec,metric_name,metric_value,metric_threshold,gate_pass,schema_gate_pass
20260223T125324Z_track_b,01_minimal,7,ok,0,87.11,heldout_addition_acc,0.1146,,True,True
20260223T125324Z_track_b,01_minimal,42,ok,0,11.75,heldout_addition_acc,0.1148,,True,True
20260223T125324Z_track_b,01_minimal,123,ok,0,12.99,heldout_addition_acc,0.1086,,True,True
20260223T125324Z_track_b,02_coins,7,ok,0,2.95,test_acc,0.5,,True,True
20260223T125324Z_track_b,02_coins,42,ok,0,2.9,test_acc,0.5,,True,True
20260223T125324Z_track_b,02_coins,123,ok,0,2.94,test_acc,0.25,,True,True
20260223T125324Z_track_b,03_mnist_multidigit,7,ok,0,59.4,eval_joint_proxy,0.5,,True,True
20260223T125324Z_track_b,03_mnist_multidigit,42,ok,0,49.88,eval_joint_proxy,0.5098,,True,True
20260223T125324Z_track_b,03_mnist_multidigit,123,ok,0,60.16,eval_joint_proxy,0.4817,,True,True
20260223T125324Z_track_b,04_hwf,7,ok,0,4.25,eval_acc,0.84,,True,True
20260223T125324Z_track_b,04_hwf,42,ok,0,4.12,eval_acc,0.88,,True,True
20260223T125324Z_track_b,04_hwf,123,ok,0,4.25,eval_acc,0.88,,True,True
20260223T125324Z_track_b,05_poker,7,ok,0,196.92,eval_joint_proxy,0.1684,,True,True
20260223T125324Z_track_b,05_poker,42,ok,0,197.37,eval_joint_proxy,0.1913,,True,True
20260223T125324Z_track_b,05_poker,123,ok,0,195.71,eval_joint_proxy,0.1709,,True,True
20260223T125324Z_track_b,06_clutrr,7,ok,0,32.31,eval_acc,0.6994,,True,True
20260223T125324Z_track_b,06_clutrr,42,ok,0,27.58,eval_acc,0.6908,,True,True
20260223T125324Z_track_b,06_clutrr,123,ok,0,26.84,eval_acc,0.6821,,True,True
